time_us,cwnd,bytes_in_flight,smoothed_rtt,min_rtt,latest_rtt
2542,15360,1998,,,
23460,16871,1879,20918,20918,20918
24631,18718,2504,21064,,22089
44968,21190,2880,21093,,21296
56548,22614,10080,21659,,25622
63856,24038,12960,22159,,25660
65314,26886,11520,21926,20301,20301
70406,29734,11520,21731,,20369
85353,32582,18720,21262,,20325
89206,35430,21600,21142,,20305
100947,38278,31680,20790,,20239
105736,41126,36000,20666,,20295
108043,43974,38880,20617,,20276
109436,46822,41760,20564,20197,20197
111050,49670,44640,20515,20174,20174
113543,52518,47520,20486,,20287
114796,55366,50400,20451,,20211
116019,58214,51840,20415,20165,20165
117664,61062,56160,20396,,20264
118949,63910,57600,20368,,20174
120378,66758,60480,20344,,20180
121663,69606,63360,20323,,20177
122902,72454,66240,20302,20159,20159
124893,76726,69120,20295,,20253
125995,79574,73440,20286,,20229
127185,82422,77760,20286,,20292
128311,85270,80640,20275,,20204
129456,88118,83520,20280,,20318
130659,90966,86400,20317,,20582
133057,93814,89280,20481,,21141
135482,96662,92160,20755,,21784
137913,99510,95040,21137,,22591
143809,102358,97920,22490,,24685
162873,102012,100800,29918,,33999
169889,109132,90720,31945,,37903
175128,110556,86400,32895,,39546
197040,111980,59040,36738,,42545
209245,86904,44640,37515,,37796
471204,101144,46080,20284,,20284
477541,102240,47520,20277,,20230
590086,86904,47520,23619,,22625
617299,101144,47520,22135,,20339
623616,102240,48960,21898,,20244
726508,86904,47520,23231,,22368
843942,101144,47520,20494,,20249
849950,102240,47520,20448,,20130
956111,86904,48960,23667,,22651
1009594,101144,47520,21368,,20265
1015800,102240,47520,21227,,20244
1132819,86904,48960,23818,,22512
1246012,99720,50400,20893,,20929
1251392,102240,50400,20907,,21005
1368758,86904,47520,24171,,22290
3900773,101144,48960,20221,,20198
3906157,102240,47520,20221,,20226
4016406,86904,48960,23432,,22322
5011222,70416,57600,25708,,23599
5037924,76896,55784,24733,,23763
5107665,4288,1440,28208,,40483
5153634,69400,0,29723,,40334
6706461,84232,55088,40218,,40240
6711895,96592,57592,40200,,40075
6717868,102240,60096,40190,,40125
10157537,45165,80128,40210,,40192
10426802,86904,38812,40392,40192,40514
12845821,102240,67608,40284,,40270
