time_us,cwnd,bytes_in_flight,smoothed_rtt,min_rtt,latest_rtt
1702,15360,1998,,,
22394,16871,1879,20692,20692,20692
23558,18718,2504,20837,,21856
43074,21190,2880,20797,20519,20519
55243,22614,11520,21384,,25496
62463,24038,14400,21900,,25515
63392,26886,11520,21697,20278,20278
68114,29734,12960,21509,20197,20197
86892,32582,21600,21012,,20219
89873,35430,24480,20919,,20268
98220,38278,31680,20686,,20196
100525,41126,33120,20630,,20241
103178,43974,38880,20580,,20231
107063,46822,41760,20491,20150,20150
108535,49670,44640,20449,,20157
110242,52518,47520,20417,,20194
111789,55366,50400,20382,20138,20138
113392,58214,53280,20354,,20163
114891,61062,56160,20326,20133,20133
116285,63910,59040,20301,20129,20129
117713,66758,61920,20282,,20151
119543,69606,64800,20270,,20193
120712,72454,67680,20254,,20148
123203,75302,70560,20236,,20209
123728,78150,73440,20224,,20147
124905,80998,76320,20223,,20221
126128,83846,79200,20243,,20386
127281,86694,82080,20235,,20180
128449,89542,84960,20300,,20755
129658,92390,87840,20394,,21052
132124,95238,90720,20672,,21740
136737,98086,93600,21479,,23114
141538,100934,96480,22671,,24982
146242,103782,99360,24123,,26652
159937,103370,100800,29472,,33766
167015,110490,92160,31531,,37317
177095,111914,82080,33512,,40308
199000,113338,54720,37162,,43227
205185,88128,48960,37539,,40185
440756,100944,50400,20377,,20405
446400,103680,48960,20355,,20206
558137,88128,48960,23692,,22224
600923,100944,50400,21700,,20587
606325,103680,50400,21560,,
723512,88128,47520,23596,,21913
887716,100944,48960,20365,,20179
893161,103680,48960,20340,,20172
997786,88128,48960,23368,,22621
1045785,100944,51840,21821,,21040
1051122,103680,51840,21739,,21170
1179780,88128,48960,24550,,22492
1265007,100944,50400,20881,,20166
1270405,103680,48960,20793,,20182
1390075,88128,47520,23424,,22255
3797640,102368,74880,31687,,31805
3803592,103680,74880,31667,,31533
4021861,88128,48960,26983,,22604
5007821,61689,48960,20208,,20180
5109493,2848,0,24933,,40445
5155596,60668,0,26851,,40282
6713898,73028,48828,40263,,40325
6719305,85388,48828,40254,,40191
6724893,95276,52584,40243,,40173
6748557,103680,82632,40249,,40292
10216220,46349,81380,40168,,40131
10480095,88128,35056,40209,40131,40227
13356799,103680,67608,40206,,40199
