time_us,cwnd,bytes_in_flight,smoothed_rtt,min_rtt,latest_rtt
5629581,30858,25920,40345,,40439
5635625,30938,25920,40343,,40336
5640937,32310,24480,40346,,40374
5646410,33018,23040,40331,,40233
5652547,33218,23040,40319,,40237
5659684,33454,23040,40325,,40373
5741597,32030,24480,40326,,40291
5918035,36302,27360,40308,,40328
5924241,38379,28800,40295,,40205
5943386,32030,31680,40276,,40245
5962363,33634,27360,40267,,40207
5969212,34338,27360,40263,,40236
5975456,35298,27360,40285,,40446
5981194,35822,27360,40290,,40328
5986278,36452,25920,40291,,40301
6014199,40724,30240,40278,,40214
6020281,43176,31680,40272,,40237
6037357,36452,34560,40273,,40242
6063016,37396,30240,40288,,40290
6069120,38614,28800,40283,,40253
6075875,44310,27360,40275,,40221
6088874,39768,40320,40291,,40398
6121169,50088,20215,40299,,40249
6127373,52780,15895,40292,,40248
6241972,58476,38880,40258,,40191
6247495,60477,38880,40254,,40228
6265734,52780,43200,40272,,40411
6289537,53600,38880,40257,,40159
6295493,54958,37440,40254,,40238
6301511,55306,37440,40255,,40266
6307201,56654,34560,40254,,40248
6412871,62350,41760,40314,,40265
6418947,64835,44640,40325,,40402
6435295,56654,47520,40306,,40230
6457153,56942,44640,40312,,40262
6463282,58234,41760,40303,,40240
6469423,59600,40320,40285,,40164
6475014,60290,38880,40282,,40265
6613737,54594,41760,40309,,40323
6720812,60290,46080,40282,,40225
6725839,63230,46080,40258,,40091
6743566,54594,50400,40237,,40151
6773647,57012,43200,40249,,40215
6779912,58252,41760,40244,,40213
6859000,65372,48960,40278,,40233
6865049,67345,50400,40261,,40149
6882536,58252,54720,40249,,40216
6906419,58454,50400,40238,,40170
6911610,60400,47520,40248,,40324
6917182,62272,44640,40246,,40236
6922756,62350,44640,40247,,40256
6969823,65198,34560,40332,,40953
6975688,66484,27360,40341,,40406
7145690,75028,53280,40276,,40238
7151337,76250,57600,40279,,40307
7169585,66484,61920,40264,,40251
7193479,68424,56160,40289,,40254
7198745,68984,53280,40291,,40308
7203864,72180,50400,40275,,40164
7307706,80724,59040,40244,,40353
7313814,82658,63360,40245,,40255
7330896,72180,69120,40249,,40298
7353199,73082,61920,40231,,40207
7359027,75388,57600,40224,,40181
7365323,77084,54720,40217,,40169
7370936,78622,54720,40209,,40155
7507131,88590,66240,40259,,40219
7512435,89905,67680,40264,,40301
7530417,78622,76320,40264,,40250
7553913,79140,66240,40266,,40130
7559492,80836,63360,40252,,40158
7564689,86302,59040,40242,,40172
7601042,94846,73440,40249,,40242
7606124,98367,74880,40249,,40255
7623327,86302,80640,40248,,40242
7646384,88018,70560,40239,,40143
7658502,92828,64800,40257,,40307
7663575,95086,63360,40240,,40126
7768011,105120,80640,40217,,40264
7790269,95086,90720,40231,,40267
7812819,96038,80640,40229,,40168
7819053,97292,77760,40219,,40154
7824359,110108,74880,40225,,40269
7836061,102020,102240,40288,,40393
7902238,89352,43200,41727,,40286
8071650,102020,77760,40275,,40257
8113238,105120,87840,40272,,40210
8134287,102020,93600,40238,,40196
8168033,102760,82080,40405,,41091
8173162,105120,79200,40553,,41596
10174455,47581,84960,40321,,40336
10469922,89352,34560,40356,40336,40521
10705440,103592,76320,40330,,40505
10722705,105120,77760,40324,,40288
17489691,106758,82080,40564,,41901
