time_us,cwnd,bytes_in_flight,smoothed_rtt,min_rtt,latest_rtt
2731,15360,1998,,,
23461,16871,1879,20730,20730,20730
24615,18718,2504,20874,,21884
44048,21190,2880,20818,20431,20431
56237,22614,11520,21392,,25415
63490,24038,14400,21901,,25464
64305,26886,11520,21691,20224,20224
69030,29734,12960,21500,20168,20168
87831,32582,21600,20980,,20342
90739,35430,24480,20890,,20266
99074,38278,31680,20668,,20231
101314,41126,34560,20613,,20234
106002,43974,38880,20527,,20255
108150,46822,41760,20491,,20242
109752,49670,44640,20455,,20204
111092,52518,47520,20430,,20255
112546,55366,48960,20390,20111,20111
114193,58214,53280,20361,,20160
115642,61062,54720,20332,,20134
117039,63910,57600,20305,,20116
118429,66758,60480,20283,,20130
119647,69606,63360,20260,20103,20103
120908,72454,66240,20241,,20112
122622,75302,70560,20224,,
123821,79574,72000,20206,20085,20085
125006,82422,76320,20195,,20119
126167,85270,79200,20186,,20125
127354,88118,83520,20197,,20274
128584,90966,86400,20222,,20402
129711,93814,89280,20271,,20621
130880,96662,92160,20349,,20901
138078,99510,95040,21402,,23097
141553,102358,97920,22270,,24423
152321,105206,100800,25954,,29336
160646,103000,103680,29697,,33747
167716,110120,92160,31749,,37875
177788,111544,82080,33676,,39657
193788,112968,61920,36540,,42725
210024,89352,43200,37867,,36088
280460,105016,47520,24219,,20166
286637,105120,48960,23709,,20140
387431,89352,47520,23534,,22380
414347,102168,48960,22224,,20306
419849,105120,46080,21985,,20318
530275,89352,48960,23599,,22523
616690,102168,51840,21322,,21012
622103,105120,50400,21292,,21088
739409,89352,47520,23475,,21840
797561,103592,47520,21135,,20256
804090,105120,50400,21022,,20231
935229,89352,48960,24362,,22651
983203,102168,51840,22161,,21143
988534,105120,51840,22046,,21244
1100604,89352,47520,23764,,22000
3491863,103592,46080,20243,,20334
3497968,105120,47520,20254,,20333
3604200,89352,47520,23390,,22214
5008193,62546,47520,20290,,20204
5109282,7168,4320,25000,,40491
5154949,8404,7200,28599,,40318
5161267,11252,5760,30059,,40279
5171534,12676,10080,31342,,40327
5180683,14100,11520,32464,,40323
5190209,15524,12960,33456,,40402
5200500,16948,14400,34317,,40348
5206743,21220,12960,35088,,40488
5213620,24068,15840,35759,,40461
5220651,25492,20160,36330,,40332
5226575,28340,20160,36822,,40266
5235685,31188,25920,37256,,40301
5246404,30670,28800,37673,,40599
5252529,30674,25920,38015,,40411
5257754,32430,23040,38311,,40387
5263757,33682,18720,38580,,40463
5269785,35722,15840,38810,,40426
5275328,37440,12960,38999,,40326
5282719,40558,8640,39184,,40479
5294516,40662,15840,39355,,40552
5498793,34966,24480,40313,,40243
5541349,30694,24480,40314,,40351
5583893,34966,24480,40308,,40277
5590198,36698,25920,40307,,40305
5608807,30694,28800,40318,,40199
