time_us,cwnd,bytes_in_flight,smoothed_rtt,min_rtt,latest_rtt
11649066,58088,41316,40195,,40241
11654815,59170,40064,40208,,40306
11696972,65350,50080,40203,,40258
11702566,67988,51332,40199,,40177
11720704,59170,56340,40197,,40176
11749277,61462,47576,40210,,40269
11754551,62638,45072,40203,,40159
11760155,64444,42568,40198,,40166
11893619,71860,55088,40194,,40232
11898949,73922,56340,40200,,40249
11915921,64444,61348,40224,,40237
11945461,67722,51332,40224,,40238
11950763,70514,47576,40221,,40206
12068489,79166,60096,40195,,40181
12075262,80596,62600,40196,,40209
12092821,70514,68860,40189,,40170
12116194,71816,58844,40195,,40176
12122258,75834,56340,40205,,40275
12128503,86958,52584,40201,,40179
12139296,76704,82632,40218,,40415
12172904,79176,52584,40493,,42436
12188693,84734,32552,41720,,41265
12408749,94622,70112,40226,,40291
12414362,96130,73868,40227,,40237
12430793,84734,81380,40260,,40252
12458633,86784,67608,40274,,40345
12463819,88646,66356,40267,,40218
12469140,90836,61348,40279,,40367
12607785,89600,68860,40215,,40236
12676925,99488,75120,40212,,40161
12683353,101759,77624,40211,,40211
12699164,89600,87640,40199,,40165
12721984,91004,73868,40215,,40177
12727635,93514,70112,40243,,40440
12732979,95344,67608,40252,,40315
12738268,97032,65104,40254,,40268
12809106,102240,80128,40234,,40204
12834607,97032,92648,40208,,40141
12860937,98638,76372,40290,,40713
12866051,100992,73868,40371,,40944
12871217,102240,71364,40453,,41028
13099556,45506,90144,40250,,40263
13130782,45533,33859,40433,,40924
13368534,86904,37560,40262,40263,40217
13461080,98028,76372,40534,,41381
13471124,102240,75120,40554,,40695
