time_us,cwnd,bytes_in_flight,smoothed_rtt,min_rtt,latest_rtt
8550149,100294,77760,40188,,40158
8567633,87856,86400,40192,,40236
8595183,90412,72000,40220,,40179
8600754,93286,69120,40218,,40210
8605847,98424,64800,40210,,40155
8745187,102240,83520,40173,,40207
8768443,98424,92160,40182,,40216
8791829,99628,83520,40204,,40351
8797494,101412,79200,40207,,40228
8803036,102084,76320,40311,,41043
8808349,102240,74880,40442,,41366
8966720,115056,79200,40460,,40118
8972813,104640,103680,40448,,40370
9028121,89352,44640,41577,,40166
9299243,102168,77760,40228,,40267
9304497,102290,79200,40219,,40163
9344746,105120,86400,40249,,40294
9365917,102290,93600,40220,,40195
9392963,103496,86400,40302,,40796
9398305,104728,82080,40434,,41364
9404125,105120,80640,40627,,41978
10171789,46881,83520,40256,,40525
10212142,46678,36000,40244,,40349
10296728,46631,36000,40249,,40245
10432837,46503,37440,40200,,40154
10467512,89352,33120,40194,40198,40180
10639476,105120,66240,40352,,40158
15556213,108403,82080,40961,,42192
