time_us,cwnd,bytes_in_flight,smoothed_rtt,min_rtt,latest_rtt
1750,15360,1998,,,
22529,16871,1879,20779,20779,20779
23795,18718,2504,20937,,22045
43339,21190,2880,20899,20634,20634
55423,22614,10080,21471,,25481
62610,24038,12960,21969,,25462
63744,26886,11520,21766,20352,20352
68416,29734,11520,21569,20195,20195
82911,32582,20160,21142,,20205
87305,35430,23040,21039,,20320
98376,38278,31680,20688,,20187
100757,41126,34560,20632,,20246
105335,43974,38880,20529,,20173
106856,46822,41760,20485,,20180
108697,49670,44640,20445,,20166
110034,52518,46080,20408,20154,20154
111593,55366,48960,20373,20132,20132
113194,58214,51840,20343,,20136
114719,61062,54720,20320,,20159
116234,63910,57600,20299,,20155
117566,66758,60480,20271,20081,20081
118844,69606,63360,20250,,20104
120192,72454,66240,20241,,20180
121316,75302,69120,20227,,20130
122643,78150,72000,20223,,20195
123640,80998,74880,20208,,20106
125553,85270,77760,20204,,20180
126564,88118,83520,20200,,20173
127862,90966,86400,20235,,20482
130240,93814,89280,20379,,20995
133829,96662,92160,20815,,22091
136155,99510,95040,21238,,22811
140951,102358,97920,22366,,24599
159959,101690,100800,29887,,33982
167116,108810,90720,31938,,37979
177084,110234,80640,33850,,40847
188642,111658,66240,35798,,42784
206386,86904,44640,37448,,37786
253618,102240,47520,27107,,20198
493288,86904,47520,24154,,22491
610430,101144,46080,20445,,20126
616473,102240,46080,20406,,20140
721569,86904,47520,23212,,22574
811991,101144,46080,20605,,20134
818385,102240,48960,20553,,20194
922755,86904,47520,23493,,22373
955101,99720,48960,21911,,20164
960245,102240,46080,21695,,20187
1080517,86904,48960,23972,,22750
1165851,99720,53280,21774,,21314
1171220,102240,53280,21728,,21408
1294494,86904,47520,24307,,22359
3986946,101144,46080,20160,,20287
3993039,102240,47520,20161,,20175
4124595,86904,48960,23905,,22499
5022112,76896,66240,27131,,26693
5110095,8608,5760,30232,,40423
5155737,9844,7200,32601,,40339
5161936,11268,8640,33559,,40272
5167174,12692,10080,34404,,40319
5176833,14116,11520,35150,,40377
5186392,15540,12960,35809,,40424
5195948,16964,14400,36386,,40427
5201146,19812,14400,36879,,40334
5207731,22418,17280,37321,,40420
5212954,23270,14400,37703,,40383
5222426,25082,12960,38027,,40302
5231952,26628,11520,38324,,40407
5241423,28476,7200,38564,,40244
5248990,29232,8640,38793,,40400
5459393,32080,15840,40296,,40317
5466481,34164,17280,40296,,40302
5481635,29232,18720,40294,,40313
5514051,29740,15840,40324,,40491
5519439,30322,15840,40321,,40303
5525356,30804,15840,40317,,40294
5556885,33652,17280,40321,,40366
5564022,35932,18720,40319,,40306
5577222,30804,20160,40313,,40374
5607752,31614,17280,40320,,40438
5615120,31940,17280,40309,,40238
5621108,25248,15840,40311,,40330
5776216,28096,20160,40338,,40324
5782656,29148,20160,40344,,40386
5800423,23824,23040,40322,,40255
5824144,24434,20160,40361,,40265
5830633,24852,18720,40351,,40288
5837793,25750,17280,40341,,40271
5845136,28598,18720,40334,,40287
5851902,26054,25920,40342,,40403
5889957,30648,12960,40341,,40237
5895966,31082,11520,40333,,40282
6144917,35354,21600,40239,,40288
6153032,36779,24480,40235,,40208
6165994,31082,25920,40246,,40200
6197697,31902,21600,40262,,40280
6203801,32370,21600,40257,,40229
6209845,33044,21600,40258,,40267
6243986,37316,23040,40255,,40225
6251275,38986,24480,40249,,40211
6265511,33044,27360,40238,,40191
6292858,33354,24480,40261,,40285
6298707,33926,23040,40261,,40266
6304397,34736,23040,40254,,40209
6310518,35276,21600,40252,,40239
6444544,31004,23040,40208,,40322
6575728,35276,25920,40218,,40242
6582765,37225,27360,40217,,40213
6602475,31004,31680,40216,,40230
6626856,33670,25920,40223,,40183
6634130,34402,24480,40221,,40212
6640533,34958,24480,40240,,40379
6907557,39230,28800,40250,,40222
6914545,41495,30240,40250,,40257
6933458,34958,33120,40254,,40310
6957611,36268,28800,40267,,40237
6964490,37224,27360,40264,,40250
6970540,38256,25920,40257,,40208
7059942,43952,31680,40220,,40115
7067188,45206,33120,40213,,40165
7085500,38256,38880,40209,,40248
7113588,39034,31680,40199,,40192
7119358,41100,30240,40198,,40196
7125124,46796,28800,40201,,40227
7130644,41806,41760,40211,,40286
7165811,43230,25920,40213,,40134
7171811,48182,17280,40208,,40176
7284212,53878,36000,40188,,40168
7290867,55660,38880,40190,,40210
7308699,48182,43200,40191,,40219
7332814,49236,36000,40190,,40148
7338927,50068,36000,40189,,40187
7344219,50556,34560,40189,,40189
7349328,51192,33120,40192,,40217
7355115,51852,33120,40184,,40128
7425682,57548,40320,40183,,40201
7431486,59789,41760,40191,,40253
7448794,51852,46080,40196,,40223
7472351,52654,41760,40194,,40205
7478100,54028,38880,40193,,40193
7483926,55356,37440,40194,,40205
7490054,55944,36000,40188,,40149
7540329,63064,43200,40197,,40239
7546675,64393,46080,40195,,40182
7562550,55944,50400,40205,,40217
7589275,57280,44640,40194,,40154
7595626,58658,41760,40197,,40223
7602005,59844,41760,40195,,40183
7607188,59950,41760,40195,,40195
7683256,67070,47520,40185,,40187
7689440,68899,50400,40187,,40205
7706374,59950,53280,40175,,40144
7728955,60222,48960,40192,,40187
7734759,61682,47520,40193,,40207
7740529,63294,44640,40197,,40225
7746690,65168,43200,40192,,40158
7816896,71922,53280,40198,,40225
7841413,62320,61920,40202,,40237
7865142,64966,51840,40202,,40200
7870459,73510,50400,40200,,40188
7886246,68990,72000,40198,,40237
7915885,73262,46080,40402,,41824
7921481,74264,37440,40835,,43870
7926809,77850,27360,41317,,44691
8073926,87818,61920,40287,,40182
8080343,88681,64800,40272,,40171
8099459,77850,73440,40234,,40136
8121735,77900,67680,40221,,40167
8126796,80814,63360,40212,,40156
8132819,81474,61920,40206,,40164
8137925,83486,59040,40197,,40135
8143435,84658,59040,40195,,40183
8380714,93202,70560,40167,,40167
8385790,96340,70560,40166,,40163
8403023,84658,79200,40167,,40128
8429996,86682,67680,40167,,40167
8435292,87240,66240,40169,,40186
8440598,90174,64800,40165,,40142
8445683,87856,61920,40174,,40241
8544285,97824,74880,40193,,40344
