k,burst_bytes,rate_mbit,rep,discard_leading,measured_median_rate_bps,iqr_over_median,n_gaps_kept,packets_received,packets_sent
20,3200,100,3,2,99929598.712662,0.105467,17,20,20
20,3200,100,4,0,100162300.023186,0.095213,19,20,20
20,3200,100,4,1,100133539.791556,0.099319,18,20,20
20,3200,100,4,2,100104779.559926,0.092170,17,20,20
20,3200,100,5,0,101785549.648115,0.102388,19,20,20
20,3200,100,5,1,101131428.654654,0.081741,18,20,20
20,3200,100,5,2,100477307.661192,0.072800,17,20,20
20,3200,100,6,0,104610395.763363,0.306323,19,20,20
20,3200,100,6,1,103461044.043449,0.277545,18,20,20
20,3200,100,6,2,102311692.323534,0.268405,17,20,20
20,3200,100,7,0,100679913.668190,0.092696,19,20,20
20,3200,100,7,1,100355058.011987,0.093119,18,20,20
20,3200,100,7,2,100030202.355784,0.081055,17,20,20
