arm,rep,time_us,cwnd,bytes_in_flight,smoothed_rtt,min_rtt,latest_rtt
quicgo,3,3757.051,40960,1280,,,
quicgo,3,3770.827,,2560,,,
quicgo,3,3790.4249999999997,,2620,,,
quicgo,3,3791.547,,2715,,,
quicgo,3,26009.675000000003,,1435,22212,22212,22212
quicgo,3,26032.349,,95,22206,22165,22165
quicgo,3,26465.128,,,22200,,
quicgo,3,26549.181,,301,,,
quicgo,3,27120.328,,1581,,,
quicgo,3,27137.540999999997,,2861,,,
quicgo,3,27148.342,,4141,,,
quicgo,3,27168.12,,5421,,,
quicgo,3,27170.986,,6701,,,
quicgo,3,27179.051,,7981,,,
quicgo,3,27185.734,,9261,,,
quicgo,3,27191.866,,10541,,,
quicgo,3,27194.231,,11821,,,
quicgo,3,27211.434,,13101,,,
quicgo,3,28647.206000000002,,14381,,,
quicgo,3,28656.444,,15661,,,
quicgo,3,29926.36,,16941,,,
quicgo,3,29935.478,,18221,,,
quicgo,3,29949.504999999997,,19501,,,
quicgo,3,31465.158,,20781,,,
quicgo,3,31523.114,,22061,,,
quicgo,3,32901.29,,23341,,,
quicgo,3,32914.395,,24621,,,
quicgo,3,32920.638,,25901,,,
quicgo,3,34452.134999999995,,27181,,,
quicgo,3,34457.205,,28461,,,
quicgo,3,34464.81,,29741,,,
quicgo,3,35698.301,,31021,,,
quicgo,3,35713.35,,32301,,,
quicgo,3,36973.286,,33581,,,
quicgo,3,37038.292,,33822,,,
quicgo,3,37125.476,,35102,,,
quicgo,3,38452.122,,36382,,,
quicgo,3,38463.194,,37662,,,
quicgo,3,38467.801999999996,,38942,,,
quicgo,3,39794.218,,40222,,,
quicgo,3,39804.758,,41502,,,
quicgo,3,48298.729999999996,44800,38641,22063,21107,21107
quicgo,3,48321.845,,39921,,,
quicgo,3,48325.933,,41201,,,
quicgo,3,48344.829,,42481,,,
quicgo,3,48351.873,,43761,,,
quicgo,3,48358.215000000004,,45041,,,
quicgo,3,48633.367,47360,42481,21991,,21489
quicgo,3,48652.102999999996,,43761,,,
quicgo,3,48658.245,,45041,,,
quicgo,3,48664.407,,46321,,,
quicgo,3,48669.257000000005,,47601,,,
quicgo,3,49696.467,49920,45041,22059,,22540
quicgo,3,49710.695,,46321,,,
quicgo,3,49714.703,,47601,,,
quicgo,3,49729.380999999994,,48881,,,
quicgo,3,49731.996,,50161,,,
quicgo,3,50765.309,52480,47601,22251,,23599
quicgo,3,50823.562000000005,,48881,,,
quicgo,3,50829.191999999995,,50161,,,
quicgo,3,51824.972,55040,47601,22552,,24659
quicgo,3,51884.668,,48881,,,
quicgo,3,51890.008,,50161,,,
quicgo,3,51911.169,,51441,,,
quicgo,3,52898.53200000001,57600,48881,22759,,24210
quicgo,3,52971.534,,50161,,,
quicgo,3,53035.047,,51441,,,
quicgo,3,53119.591,,51712,,,
quicgo,3,53933.21799999999,60160,49152,22906,,23940
quicgo,3,53951.954,,50432,,,
quicgo,3,53955.591,,51712,,,
quicgo,3,53971.602,,52992,,,
quicgo,3,55307.11,,54272,,,
quicgo,3,55333.672,,55552,,,
quicgo,3,55338.191,,56832,,,
quicgo,3,55734.338,64000,52992,23077,,24279
quicgo,3,55757.373,,54272,,,
quicgo,3,56576.121,66560,51712,23149,,23657
quicgo,3,56613.283,,52992,,,
quicgo,3,56616.429,,54272,,,
quicgo,3,56625.386,,55552,,,
quicgo,3,57506.908,69120,52992,23130,,23003
quicgo,3,57521.386,,54272,,,
quicgo,3,57525.324,,55552,,,
quicgo,3,58646.897000000004,71680,52992,23257,,24153
quicgo,3,58660.403000000006,,54272,,,
quicgo,3,58663.749,,55552,,,
quicgo,3,58666.435,,56832,,,
quicgo,3,58684.119000000006,,58112,,,
quicgo,3,59787.312,74240,55552,23349,,23999
quicgo,3,59852.268000000004,,56832,,,
quicgo,3,59863.72,,58112,,,
quicgo,3,59871.365,,59392,,,
quicgo,3,60662.659,76800,57871,23373,,23542
quicgo,3,60687.286,,59151,,,
quicgo,3,60691.795,,60431,,,
quicgo,3,60709.829999999994,,61711,,,
quicgo,3,61581.299,79360,59151,23329,,23025
quicgo,3,61606.808000000005,,60431,,,
quicgo,3,61610.596,,61711,,,
quicgo,3,61634.061,,62991,,,
quicgo,3,62500.09,81920,60431,23412,,23996
quicgo,3,62525.869999999995,,61711,,,
quicgo,3,62536.44,,61982,,,
quicgo,3,62704.46599999999,,63262,,,
quicgo,3,62714.164,,64542,,,
quicgo,3,62734.724,,65822,,,
quicgo,3,63557.298,84480,63262,23449,,23715
quicgo,3,63574.181000000004,,64542,,,
quicgo,3,63578.91,,65822,,,
quicgo,3,63584.591,,67102,,,
quicgo,3,64866.92600000001,,68382,,,
quicgo,3,64871.014,,69662,,,
quicgo,3,64873.98,,70942,,,
quicgo,3,64883.418000000005,,72222,,,
quicgo,3,66144.472,,73502,,,
quicgo,3,66151.546,,74782,,,
quicgo,3,66156.10399999999,,76062,,,
quicgo,3,66176.40400000001,,77342,,,
quicgo,3,66181.12299999999,,78622,,,
quicgo,3,67583.11,,79902,,,
quicgo,3,67596.907,,81182,,,
quicgo,3,67677.112,,82462,,,
