arm,rep,time_us,cwnd,bytes_in_flight,smoothed_rtt,min_rtt,latest_rtt
quicgo,1,6862.377,40960,1280,,,
quicgo,1,6870.121,,2560,,,
quicgo,1,6881.522999999999,,2621,,,
quicgo,1,6882.467000000001,,2716,,,
quicgo,1,29747.063000000002,,1436,22809,22809,22809
quicgo,1,29767.354,,95,22801,22759,22759
quicgo,1,30011.57,,,22795,,
quicgo,1,30087.732,,298,,,
quicgo,1,31806.534,,1578,,,
quicgo,1,31818.789,,2858,,,
quicgo,1,31830.039,,4138,,,
quicgo,1,31840.164999999997,,5418,,,
quicgo,1,31844.826,,6698,,,
quicgo,1,31853.485,,7978,,,
quicgo,1,31859.09,,9258,,,
quicgo,1,31865.046,,10538,,,
quicgo,1,31867.467,,11818,,,
quicgo,1,31881.47,,13098,,,
quicgo,1,33262.949,,14378,,,
quicgo,1,33268.051999999996,,15658,,,
quicgo,1,34508.386,,16938,,,
quicgo,1,34512.836,,18218,,,
quicgo,1,35810.081,,19498,,,
quicgo,1,35822.105,,20778,,,
quicgo,1,35837.705,,22058,,,
quicgo,1,37144.173,,23338,,,
quicgo,1,37151.295,,24618,,,
quicgo,1,38485.138999999996,,25898,,,
quicgo,1,38493.094999999994,,27178,,,
quicgo,1,39902.418,,28458,,,
quicgo,1,39911.378,,29738,,,
quicgo,1,39914.352,,31018,,,
quicgo,1,41278.522000000004,,32298,,,
quicgo,1,41332.825999999994,,33578,,,
quicgo,1,41473.889,,33828,,,
quicgo,1,42796.377,,35108,,,
quicgo,1,42809.193999999996,,36388,,,
quicgo,1,42815.201,,37668,,,
quicgo,1,44181.839,,38948,,,
quicgo,1,44195.761,,40228,,,
quicgo,1,45601.268,,41508,,,
quicgo,1,52771.192,44800,38650,22567,20972,20972
quicgo,1,52807.172999999995,,39930,,,
quicgo,1,52813.712,,41210,,,
quicgo,1,52834.023,,42490,,,
quicgo,1,52845.234,,43770,,,
quicgo,1,52849.975,,45050,,,
quicgo,1,53337.593,47360,42490,22435,,21517
quicgo,1,53357.311,,43770,,,
quicgo,1,53362.515,,45050,,,
quicgo,1,53389.435,,46330,,,
quicgo,1,53396.949,,47610,,,
quicgo,1,54621.922,49920,45050,22485,,22841
quicgo,1,54636.819,,46330,,,
quicgo,1,54640.64599999999,,47610,,,
quicgo,1,54644.784999999996,,48890,,,
quicgo,1,54670.339,,50170,,,
quicgo,1,55473.723,52480,47610,22635,,23687
quicgo,1,55486.631,,48890,,,
quicgo,1,55490.418,,50170,,,
quicgo,1,56547.224,55040,47610,22897,,24731
quicgo,1,56612.858,,48890,,,
quicgo,1,56618.905,,50170,,,
quicgo,1,56640.472,,51450,,,
quicgo,1,57764.530999999995,57600,48890,23078,,24352
quicgo,1,57787.393000000004,,50170,,,
quicgo,1,57793.27,,51450,,,
quicgo,1,57800.402,,51721,,,
quicgo,1,57987.562,,53001,,,
