arm,rep,time_us,cwnd,bytes_in_flight,smoothed_rtt,min_rtt,latest_rtt
quicgo,5,4159.9130000000005,40960,1280,,,
quicgo,5,4167.168000000001,,2560,,,
quicgo,5,4178.5019999999995,,2627,,,
quicgo,5,4179.203,,2722,,,
quicgo,5,25799.806,,1442,21541,21541,21541
quicgo,5,25846.072,,95,21537,21513,21513
quicgo,5,26266.597999999998,,,21534,,
quicgo,5,26375.585,,299,,,
quicgo,5,26705.627,,1579,,,
quicgo,5,26713.855,,2859,,,
quicgo,5,26725.88,,4139,,,
quicgo,5,26736.191000000003,,5419,,,
quicgo,5,26741.242,,6699,,,
quicgo,5,26754.65,,7979,,,
quicgo,5,26764.66,,9259,,,
quicgo,5,26775.251999999997,,10539,,,
quicgo,5,26780.153,,11819,,,
quicgo,5,26802.549,,13099,,,
quicgo,5,28348.258,,14379,,,
quicgo,5,28372.918999999998,,15659,,,
quicgo,5,29794.093,,16939,,,
quicgo,5,29806.88,,18219,,,
quicgo,5,29819.927,,19499,,,
quicgo,5,31179.434,,20779,,,
quicgo,5,31192.832,,22059,,,
quicgo,5,31208.915,,23339,,,
quicgo,5,32570.36,,24619,,,
quicgo,5,32582.645,,25899,,,
quicgo,5,33865.737,,27179,,,
quicgo,5,33873.724,,28459,,,
quicgo,5,33899.718,,29739,,,
quicgo,5,35252.214,,31019,,,
quicgo,5,35283.700000000004,,32299,,,
quicgo,5,36634.342,,33579,,,
quicgo,5,36644.604,,33828,,,
quicgo,5,36720.030999999995,,35108,,,
quicgo,5,36777.972,,36388,,,
quicgo,5,38143.9,,37668,,,
quicgo,5,38153.630999999994,,38948,,,
quicgo,5,39659.743,,40228,,,
quicgo,5,39669.023,,41508,,,
quicgo,5,47708.293,44800,38649,21458,20933,20933
quicgo,5,47745.14,,39929,,,
quicgo,5,47750.431,,41209,,,
quicgo,5,47769.039,,42489,,,
quicgo,5,47778.198000000004,,43769,,,
quicgo,5,47782.96799999999,,45049,,,
quicgo,5,48246.408,47360,42489,21459,,21473
quicgo,5,48269.436,,43769,,,
quicgo,5,48275.438,,45049,,,
quicgo,5,48300.851,,46329,,,
quicgo,5,48305.731,,47609,,,
quicgo,5,49563.486,49920,45049,21612,,22686
quicgo,5,49597.216,,46329,,,
quicgo,5,49601.445,,47609,,,
quicgo,5,49622.459,,48889,,,
quicgo,5,49625.094,,50169,,,
quicgo,5,50480.896,52480,47609,21870,,23676
quicgo,5,50507.061,,48889,,,
quicgo,5,50512.452000000005,,50169,,,
quicgo,5,50531.983,,51449,,,
quicgo,5,51371.521,55040,48889,22210,,24596
quicgo,5,51392.485,,50169,,,
quicgo,5,51397.956,,51449,,,
quicgo,5,52560.913,57600,48889,22470,,24294
quicgo,5,52604.984000000004,,50169,,,
quicgo,5,52611.708,,51449,,,
quicgo,5,52623.874,,51720,,,
quicgo,5,52735.543,,53000,,,
quicgo,5,53466.699,60160,50440,22621,,23681
quicgo,5,53479.866,,51720,,,
quicgo,5,53482.692,,53000,,,
quicgo,5,54662.274,62720,50440,22720,,23421
quicgo,5,54686.815,,51720,,,
quicgo,5,54692.828,,53000,,,
quicgo,5,54698.65,,54280,,,
quicgo,5,55873.346,65280,51720,22959,,24636
quicgo,5,55895.612,,53000,,,
quicgo,5,55900.121,,54280,,,
quicgo,5,55923.25,,55560,,,
quicgo,5,55943.371,,56840,,,
quicgo,5,56697.011000000006,67840,54280,23106,,24141
quicgo,5,56766.616,,55560,,,
quicgo,5,56772.91,,56840,,,
quicgo,5,57723.369,70400,54280,23193,,23805
quicgo,5,57776.21,,55560,,,
quicgo,5,57779.587,,56840,,,
quicgo,5,57799.328,,58120,,,
quicgo,5,59150.36,,59400,,,
quicgo,5,59162.867,,60680,,,
quicgo,5,59168.027,,61960,,,
quicgo,5,59183.419,,63240,,,
quicgo,5,59278.206,74240,59400,23298,,24035
quicgo,5,59290.753000000004,,60680,,,
quicgo,5,59974.846999999994,76800,59151,23299,,23308
quicgo,5,59993.245,,60431,,,
quicgo,5,60005.14,,61711,,,
quicgo,5,61223.587,79360,59151,23438,,24412
quicgo,5,61294.114,,60431,,,
quicgo,5,61299.726,,61711,,,
quicgo,5,61303.514,,62991,,,
quicgo,5,61320.21799999999,,64271,,,
quicgo,5,61479.641,,64542,,,
quicgo,5,61501.707,,65822,,,
quicgo,5,62254.564,81920,63262,23512,,24034
quicgo,5,62279.927,,64542,,,
quicgo,5,62284.386,,65822,,,
quicgo,5,63332.459,84480,63262,23530,,23661
quicgo,5,63359.004,,64542,,,
quicgo,5,63364.215000000004,,65822,,,
quicgo,5,63370.558000000005,,67102,,,
quicgo,5,63375.498,,68382,,,
quicgo,5,64758.147,,69662,,,
quicgo,5,64771.956000000006,,70942,,,
quicgo,5,64789.221999999994,,72222,,,
quicgo,5,64794.032,,73502,,,
quicgo,5,64798.93199999999,,74782,,,
quicgo,5,66479.858,,76062,,,
quicgo,5,66490.75,,77342,,,
quicgo,5,66503.928,,78622,,,
quicgo,5,66507.766,,79902,,,
quicgo,5,66511.193,,81182,,,
quicgo,5,67882.46399999999,,82462,,,
quicgo,5,67891.382,,83742,,,
quicgo,5,67905.933,,85022,,,
quicgo,5,68448.242,87040,82462,23174,20684,20684
quicgo,5,68472.62299999999,,83742,,,
quicgo,5,68478.565,,85022,,,
quicgo,5,68503.206,,86302,,,
quicgo,5,68508.788,,87582,,,
quicgo,5,69158.501,89600,85022,22939,,21296
quicgo,5,69183.583,,86302,,,
quicgo,5,69189.996,,87582,,,
quicgo,5,69196.991,,87853,,,
quicgo,5,69399.31199999999,,89133,,,
quicgo,5,69406.26699999999,,90413,,,
quicgo,5,70746.65699999999,93440,86573,22873,,22418
quicgo,5,70768.012,,87853,,,
quicgo,5,70771.249,,89133,,,
quicgo,5,70796.882,,90413,,,
quicgo,5,70801.902,,91693,,,
quicgo,5,70811.252,,92973,,,
quicgo,5,70813.807,,94253,,,
quicgo,5,71893.596,96000,91693,22952,,23512
quicgo,5,71925.111,,92973,,,
quicgo,5,71931.495,,94253,,,
quicgo,5,71937.91799999999,,95533,,,
quicgo,5,71963.28099999999,,96813,,,
quicgo,5,72878.507,98560,94253,22981,,23190
quicgo,5,72891.71500000001,,95533,,,
quicgo,5,72895.05200000001,,96813,,,
quicgo,5,72898.709,,98093,,,
quicgo,5,72916.206,,99373,,,
quicgo,5,73879.622,101120,96813,23132,,24193
quicgo,5,73907.069,,98093,,,
quicgo,5,73913.933,,99373,,,
quicgo,5,73923.704,,100653,,,
quicgo,5,73928.654,,101933,,,
quicgo,5,74981.72700000001,103680,99373,23279,,24312
quicgo,5,75003.492,,100653,,,
quicgo,5,75009.264,,101933,,,
quicgo,5,75015.71699999999,,103213,,,
quicgo,5,75020.658,,104493,,,
quicgo,5,76667.979,107520,100653,23518,,25193
quicgo,5,76690.706,,101933,,,
quicgo,5,76695.266,,103213,,,
quicgo,5,76698.262,,103492,,,
quicgo,5,76877.79999999999,,104772,,,
quicgo,5,76888.051,,106052,,,
quicgo,5,76907.391,,107332,,,
quicgo,5,76916.019,,108612,,,
quicgo,5,77869.631,111360,105781,23725,,25178
quicgo,5,77914.134,,107061,,,
quicgo,5,77922.94200000001,,108341,,,
quicgo,5,77927.582,,109621,,,
quicgo,5,77934.296,,110901,,,
quicgo,5,77964.549,,112181,,,
quicgo,5,79490.836,115200,108341,23996,,25896
quicgo,5,79537.624,,109621,,,
quicgo,5,79543.556,,110901,,,
quicgo,5,79548.086,,112181,,,
quicgo,5,79554.259,,113461,,,
quicgo,5,79572.046,,114741,,,
quicgo,5,79576.996,,116021,,,
quicgo,5,80359.145,117760,113461,24195,,25591
quicgo,5,80373.094,,114741,,,
quicgo,5,80376.18000000001,,116021,,,
quicgo,5,80388.696,,117301,,,
quicgo,5,80391.632,,118581,,,
quicgo,5,81420.61,120320,116021,24350,,25441
quicgo,5,81450.29100000001,,117301,,,
quicgo,5,81454.45999999999,,118581,,,
quicgo,5,81462.677,,119861,,,
quicgo,5,81465.182,,121141,,,
quicgo,5,82626.847,122880,118581,24632,,26610
quicgo,5,82652.029,,119861,,,
quicgo,5,82657.019,,121141,,,
quicgo,5,82678.494,,122421,,,
quicgo,5,82683.064,,122692,,,
quicgo,5,82831.182,,123972,,,
quicgo,5,84143.735,126720,120132,24963,,27285
quicgo,5,84171.47300000001,,121412,,,
quicgo,5,84177.786,,122692,,,
quicgo,5,84182.50600000001,,123972,,,
quicgo,5,84189.35,,125252,,,
quicgo,5,84218.23999999999,,126532,,,
quicgo,5,84224.012,,127812,,,
quicgo,5,85120.028,129280,125252,25248,,27244
quicgo,5,85137.645,,126532,,,
quicgo,5,85140.681,,127812,,,
quicgo,5,85158.989,,129092,,,
quicgo,5,85171.345,,130372,,,
quicgo,5,86226.44200000001,131840,127812,25472,,27046
quicgo,5,86241.55399999999,,129092,,,
quicgo,5,86244.54,,130372,,,
quicgo,5,86258.19900000001,,131652,,,
quicgo,5,86261.07500000001,,132932,,,
quicgo,5,87272.50499999999,134400,130372,25800,,28096
quicgo,5,87284.7,,131652,,,
quicgo,5,87288.33799999999,,132932,,,
quicgo,5,87291.625,,134212,,,
quicgo,5,87306.576,,135492,,,
quicgo,5,88253.02399999999,136960,132932,26183,,28872
quicgo,5,88266.712,,134212,,,
quicgo,5,88270.48999999999,,135492,,,
quicgo,5,88282.234,,136772,,,
quicgo,5,88285.241,,138052,,,
quicgo,5,89433.125,139520,135492,26578,,29347
quicgo,5,89453.57699999999,,136772,,,
quicgo,5,89456.854,,138052,,,
quicgo,5,89463.608,,139332,,,
quicgo,5,89492.599,,139603,,,
quicgo,5,90569.406,142080,137043,26898,,29144
quicgo,5,90594.077,,138323,,,
quicgo,5,90598.807,,139603,,,
quicgo,5,90605.23000000001,,140883,,,
quicgo,5,90637.527,,142163,,,
quicgo,5,91576.64300000001,145920,139332,27284,,29994
quicgo,5,91613.23899999999,,140612,,,
quicgo,5,91624.713,,141892,,,
quicgo,5,91632.10800000001,,143172,,,
quicgo,5,91639.023,,144452,,,
quicgo,5,91655.25700000001,,145732,,,
quicgo,5,91658.844,,147012,,,
quicgo,5,93256.842,149760,143172,27736,,30907
quicgo,5,93274.21800000001,,144452,,,
quicgo,5,93278.046,,145732,,,
quicgo,5,93280.60100000001,,147012,,,
quicgo,5,93294.19,,148292,,,
quicgo,5,93296.504,,149572,,,
quicgo,5,93298.799,,150852,,,
quicgo,5,94280.243,152320,148292,28124,,30841
quicgo,5,94294.694,,149572,,,
quicgo,5,94298.08099999999,,150852,,,
quicgo,5,94313.96399999999,,152132,,,
quicgo,5,94316.86,,153412,,,
quicgo,5,95301.465,154880,150852,28591,,31862
quicgo,5,95316.616,,152132,,,
quicgo,5,95320.324,,153412,,,
quicgo,5,95324.032,,154692,,,
quicgo,5,95335.857,,155972,,,
quicgo,5,96441.143,157440,153412,28972,,31640
quicgo,5,96468.29,,154692,,,
quicgo,5,96474.904,,155972,,,
quicgo,5,96481.117,,156251,,,
quicgo,5,96660.52,,157531,,,
quicgo,5,97535.723,160000,154971,29441,,32729
quicgo,5,97564.19200000001,,156251,,,
quicgo,5,97573.161,,157531,,,
quicgo,5,97580.927,,158811,,,
quicgo,5,97619.468,,160091,,,
quicgo,5,98735.065,162560,157531,29812,,32409
quicgo,5,98766.65,,158811,,,
quicgo,5,98772.232,,160091,,,
quicgo,5,98803.728,,161371,,,
quicgo,5,98808.82800000001,,162651,,,
quicgo,5,99586.785,165120,160091,30238,,33228
quicgo,5,99609.382,,161371,,,
quicgo,5,99614.93400000001,,162651,,,
quicgo,5,99632.17,,163931,,,
quicgo,5,99634.905,,165211,,,
quicgo,5,100622.01000000001,167680,162651,30747,,34310
quicgo,5,100638.12400000001,,163931,,,
quicgo,5,100656.913,,165211,,,
quicgo,5,100661.14199999999,,166491,,,
quicgo,5,100667.69499999999,,167771,,,
quicgo,5,101624.31700000001,170240,165211,31119,,33728
quicgo,5,101638.186,,166491,,,
quicgo,5,101641.913,,167771,,,
quicgo,5,101646.062,,169051,,,
quicgo,5,101660.252,,170331,,,
quicgo,5,103067.372,172800,167771,31539,,34483
quicgo,5,103091.011,,169051,,,
quicgo,5,103096.342,,170331,,,
quicgo,5,103114.149,,171611,,,
quicgo,5,103144.422,,172891,,,
quicgo,5,104030.417,175360,170331,32025,,35433
quicgo,5,104058.465,,171611,,,
quicgo,5,104064.89899999999,,171882,,,
quicgo,5,104374.167,,173162,,,
quicgo,5,104395.331,,174442,,,
quicgo,5,104399.78000000001,,175722,,,
quicgo,5,105708.957,180480,171611,32569,,36378
quicgo,5,105790.32599999999,,172891,,,
quicgo,5,105800.688,,174171,,,
quicgo,5,105807.161,,175451,,,
quicgo,5,105811.5,,176731,,,
quicgo,5,105837.565,,178011,,,
quicgo,5,105842.996,,179291,,,
quicgo,5,105858.628,,180571,,,
quicgo,5,106587.79199999999,183040,178011,33141,,37147
quicgo,5,106603.194,,179291,,,
quicgo,5,106606.481,,180571,,,
quicgo,5,106610.179,,181851,,,
quicgo,5,106612.89499999999,,183131,,,
quicgo,5,107604.47499999999,185600,180571,33590,,36740
quicgo,5,107622.222,,181851,,,
quicgo,5,107627.352,,183131,,,
quicgo,5,107633.315,,184411,,,
quicgo,5,107653.687,,185691,,,
quicgo,5,108603.752,188160,183131,34109,,37748
quicgo,5,108617.32,,184411,,,
quicgo,5,108636.45,,185691,,,
quicgo,5,108640.198,,186971,,,
quicgo,5,108646.631,,188251,,,
quicgo,5,109738.022,190720,185691,34701,,38851
quicgo,5,109761.621,,186971,,,
quicgo,5,109769.60800000001,,188251,,,
quicgo,5,109799.711,,189531,,,
quicgo,5,109806.365,,190811,,,
quicgo,5,111074.236,193280,188251,35238,,39001
quicgo,5,111128.579,,188530,,,
quicgo,5,111138.871,,189810,,,
quicgo,5,111145.083,,191090,,,
quicgo,5,111151.82699999999,,192370,,,
quicgo,5,111156.74799999999,,193650,,,
quicgo,5,111789.815,195840,191090,35805,,39777
quicgo,5,111859.961,,192370,,,
quicgo,5,111891.346,,193650,,,
quicgo,5,111902.68000000001,,194930,,,
quicgo,5,111911.35800000001,,196210,,,
quicgo,5,113024.416,198400,193650,36331,,40019
quicgo,5,113045.58,,194930,,,
quicgo,5,113049.448,,196210,,,
quicgo,5,113065.271,,197490,,,
quicgo,5,113075.75300000001,,198770,,,
quicgo,5,113904.168,200960,196210,36902,,40903
quicgo,5,113920.632,,197490,,,
quicgo,5,113924.37,,198770,,,
quicgo,5,113941.085,,200050,,,
quicgo,5,113943.951,,201330,,,
quicgo,5,114994.443,203520,198770,37412,,40985
quicgo,5,115018.524,,200050,,,
quicgo,5,115025.398,,201330,,,
quicgo,5,115051.89300000001,,202610,,,
quicgo,5,115058.62700000001,,203890,,,
quicgo,5,116053.349,206080,201330,37991,,42048
quicgo,5,116068.861,,202610,,,
quicgo,5,116071.607,,203890,,,
quicgo,5,116084.684,,205170,,,
quicgo,5,116087.259,,206450,,,
quicgo,5,117247.4,208640,203890,38504,,42099
quicgo,5,117276.781,,205170,,,
quicgo,5,117283.806,,206450,,,
quicgo,5,117291.502,,206721,,,
quicgo,5,117393.46399999999,,208001,,,
quicgo,5,117399.687,,209281,,,
quicgo,5,118242.002,211200,206721,39079,,43111
quicgo,5,118267.094,,208001,,,
quicgo,5,118273.337,,209281,,,
quicgo,5,118298.609,,210561,,,
quicgo,5,118306.315,,211841,,,
quicgo,5,119618.508,,209002,39535,,42729
quicgo,5,119648.11,,210282,,,
quicgo,5,119655.034,,211562,,,
quicgo,5,120476.785,,209002,40034,,43531
quicgo,5,120538.935,,210282,,,
quicgo,5,120544.877,,211562,,,
quicgo,5,121468.701,,209002,40596,,44537
quicgo,5,121485.315,,210282,,,
quicgo,5,121488.722,,211562,,,
quicgo,5,122513.561,,209002,41088,,44536
quicgo,5,122529.013,,210282,,,
quicgo,5,122532.701,,211562,,,
quicgo,5,123634.28,,209002,41654,,45621
quicgo,5,123658.46,,210282,,,
quicgo,5,123664.16200000001,,211562,,,
quicgo,5,124862.148,,209002,42091,,45153
quicgo,5,124934.659,,210282,,,
