arm,rep,time_us,cwnd,bytes_in_flight,smoothed_rtt,min_rtt,latest_rtt
quicgo,2,73134.823,,96813,,,
quicgo,2,73137.66900000001,,98093,,,
quicgo,2,73153.99100000001,,99373,,,
quicgo,2,73156.42599999999,,100653,,,
quicgo,2,74240.629,102400,98093,23021,,23822
quicgo,2,74261.43999999999,,99373,,,
quicgo,2,74265.818,,100653,,,
quicgo,2,74270.738,,101933,,,
quicgo,2,74290.196,,103213,,,
quicgo,2,75409.178,104960,100653,23269,,25009
quicgo,2,75435.79,,101933,,,
quicgo,2,75441.08099999999,,103213,,,
quicgo,2,75448.12400000001,,104493,,,
quicgo,2,75467.392,,105773,,,
quicgo,2,76394.778,107520,103213,23479,,24953
quicgo,2,76435.367,,103492,,,
quicgo,2,76441.108,,104772,,,
quicgo,2,76443.814,,106052,,,
quicgo,2,76451.789,,107332,,,
quicgo,2,76454.35399999999,,108612,,,
quicgo,2,77700.935,111360,105781,23682,,25104
quicgo,2,77725.332,,107061,,,
quicgo,2,77730.03199999999,,108341,,,
quicgo,2,77733.689,,109621,,,
quicgo,2,77739.63,,110901,,,
quicgo,2,77760.752,,112181,,,
quicgo,2,79109.29299999999,115200,108341,23916,,25557
quicgo,2,79129.092,,109621,,,
quicgo,2,79134.53199999999,,110901,,,
quicgo,2,79141.857,,112181,,,
quicgo,2,79151.44499999999,,113461,,,
quicgo,2,79167.34700000001,,114741,,,
quicgo,2,79171.07400000001,,116021,,,
quicgo,2,80185.575,117760,113461,24104,,25422
quicgo,2,80199.21100000001,,114741,,,
quicgo,2,80202.71800000001,,116021,,,
quicgo,2,80206.225,,117301,,,
quicgo,2,80229.871,,118581,,,
quicgo,2,81282.163,120320,116021,24402,,26492
quicgo,2,81305.078,,117301,,,
quicgo,2,81309.617,,118581,,,
quicgo,2,81314.58600000001,,119861,,,
quicgo,2,81335.73800000001,,121141,,,
quicgo,2,82521.23400000001,122880,118581,24696,,26756
quicgo,2,82550.251,,119861,,,
quicgo,2,82556.23300000001,,121141,,,
quicgo,2,82565.06,,122421,,,
quicgo,2,82570.15,,122692,,,
quicgo,2,82857.617,,123972,,,
quicgo,2,83326.571,125440,121412,24921,,26501
quicgo,2,83347.20199999999,,122692,,,
quicgo,2,83351.88100000001,,123972,,,
quicgo,2,83369.455,,125252,,,
quicgo,2,83379.365,,126532,,,
quicgo,2,84419.846,128000,123972,25131,,26607
quicgo,2,84442.02,,125252,,,
quicgo,2,84446.41900000001,,126532,,,
quicgo,2,84451.549,,127812,,,
quicgo,2,84467.78,,129092,,,
quicgo,2,85405.48300000001,130560,126532,25441,,27615
quicgo,2,85420.45199999999,,127812,,,
quicgo,2,85424.07900000001,,129092,,,
quicgo,2,85427.857,,130372,,,
quicgo,2,85430.13100000001,,131652,,,
quicgo,2,86490.85800000001,133120,129092,25691,,27441
quicgo,2,86507.17,,130372,,,
quicgo,2,86512.13900000001,,131652,,,
quicgo,2,86533.551,,132932,,,
quicgo,2,86666.251,,134212,,,
quicgo,2,87554.39,135680,131652,26044,,28521
quicgo,2,87567.676,,132932,,,
quicgo,2,87582.335,,134212,,,
quicgo,2,87586.202,,135492,,,
quicgo,2,87588.707,,136772,,,
quicgo,2,88846.10399999999,138240,134212,26370,,28658
quicgo,2,88880.261,,135492,,,
quicgo,2,88887.034,,136772,,,
quicgo,2,88911.342,,138052,,,
quicgo,2,88916.973,,139332,,,
quicgo,2,89981.588,140800,136772,26658,,28678
quicgo,2,90049.15,,138052,,,
quicgo,2,90055.693,,138323,,,
quicgo,2,90158.46399999999,,139603,,,
quicgo,2,90188.11200000001,,140883,,,
quicgo,2,90823.78199999999,143360,138323,27026,,29603
quicgo,2,90927.445,,139603,,,
quicgo,2,90935.351,,140883,,,
quicgo,2,91011.379,,142163,,,
quicgo,2,91017.94200000001,,143443,,,
quicgo,2,91381.805,145920,141892,27304,,29251
quicgo,2,91401.894,,143172,,,
quicgo,2,91407.285,,144452,,,
quicgo,2,91414.35900000001,,145732,,,
quicgo,2,91627.336,,147012,,,
quicgo,2,92456.92099999999,148480,144452,27678,,30296
quicgo,2,92475.968,,145732,,,
quicgo,2,92479.896,,147012,,,
quicgo,2,92483.77399999999,,148292,,,
quicgo,2,92486.449,,149572,,,
quicgo,2,93472.38799999999,151040,147012,27999,,30249
quicgo,2,93485.935,,148292,,,
quicgo,2,93488.851,,149572,,,
quicgo,2,93501.94600000001,,150852,,,
quicgo,2,93504.451,,152132,,,
quicgo,2,94516.242,153600,149572,28409,,31286
quicgo,2,94529.679,,150852,,,
quicgo,2,94532.464,,152132,,,
quicgo,2,94547.31300000001,,153412,,,
quicgo,2,94549.958,,154692,,,
quicgo,2,95787.95700000001,156160,152132,28753,,31164
quicgo,2,95819.35900000001,,153412,,,
quicgo,2,95825.451,,154692,,,
quicgo,2,95852.925,,155972,,,
quicgo,2,95859.357,,157252,,,
quicgo,2,96748.985,158720,154692,29173,,32120
quicgo,2,96777.24,,154971,,,
quicgo,2,96788.913,,156251,,,
quicgo,2,96796.32800000001,,157531,,,
quicgo,2,96826.868,,158811,,,
quicgo,2,97983.443,161280,156251,29690,,33313
quicgo,2,98004.183,,157531,,,
