arm,rep,time_us,cwnd,bytes_in_flight,smoothed_rtt,min_rtt,latest_rtt
quicgo,4,4125.955,40960,1280,,,
quicgo,4,4137.705999999999,,2560,,,
quicgo,4,4156.512000000001,,2632,,,
quicgo,4,4157.553,,2727,,,
quicgo,4,26346.196,,1447,22111,22111,22111
quicgo,4,26398.132,,95,22104,22067,22067
quicgo,4,26757.325999999997,,,22099,,
quicgo,4,26933.630999999998,,301,,,
quicgo,4,27239.539,,1581,,,
quicgo,4,27256.674,,2861,,,
quicgo,4,27264.231,,4141,,,
quicgo,4,27278.272999999997,,5421,,,
quicgo,4,27281.136,,6701,,,
quicgo,4,27291.184999999998,,7981,,,
quicgo,4,27296.849000000002,,9261,,,
quicgo,4,27302.554,,10541,,,
quicgo,4,27304.927,,11821,,,
quicgo,4,27320.620000000003,,13101,,,
quicgo,4,28632.864999999998,,14381,,,
quicgo,4,28642.523,,15661,,,
quicgo,4,30099.67,,16941,,,
quicgo,4,30109.249,,18221,,,
quicgo,4,30132.319,,19501,,,
quicgo,4,31439.334,,20781,,,
quicgo,4,31461.053,,22061,,,
quicgo,4,32822.212,,23341,,,
quicgo,4,32834.833000000006,,24621,,,
quicgo,4,32850.107,,25901,,,
quicgo,4,34234.088,,27181,,,
quicgo,4,34242.486,,28461,,,
quicgo,4,35495.865000000005,,29741,,,
quicgo,4,35502.130000000005,,31021,,,
quicgo,4,35529.674,,32301,,,
quicgo,4,37101.695999999996,,33581,,,
quicgo,4,37108.952000000005,,33822,,,
quicgo,4,37208.278999999995,,35102,,,
quicgo,4,38514.859000000004,,36382,,,
quicgo,4,38527.15,,37662,,,
quicgo,4,38532.234000000004,,38942,,,
quicgo,4,39853.001,,40222,,,
quicgo,4,39880.325,,41502,,,
quicgo,4,48019.258,44800,38641,21936,20799,20799
quicgo,4,48048.023,,39921,,,
quicgo,4,48052.257,,41201,,,
quicgo,4,48055.909999999996,,42481,,,
quicgo,4,48068.751,,43761,,,
quicgo,4,48080.251,,45041,,,
quicgo,4,48955.363,47360,42481,21885,,21535
quicgo,4,48970.256,,43761,,,
quicgo,4,48973.929,,45041,,,
quicgo,4,48977.803,,46321,,,
quicgo,4,48991.034,,47601,,,
quicgo,4,49718.902,49920,45041,21957,,22461
quicgo,4,49730.953,,46321,,,
quicgo,4,49733.595,,47601,,,
quicgo,4,49736.287,,48881,,,
quicgo,4,49738.489,,50161,,,
quicgo,4,50815.418,52480,47601,22155,,23542
quicgo,4,50833.945,,48881,,,
quicgo,4,50840.25,,50161,,,
quicgo,4,50860.978,,51441,,,
quicgo,4,52222.741,55040,48881,22500,,24922
quicgo,4,52252.496999999996,,50161,,,
quicgo,4,52261.295,,51441,,,
quicgo,4,52267.75,,52721,,,
quicgo,4,53216.777,57600,50161,22756,,24551
quicgo,4,53244.701,,51441,,,
quicgo,4,53296.627,,51712,,,
quicgo,4,53442.965000000004,,52992,,,
quicgo,4,53455.136000000006,,54272,,,
quicgo,4,54102.488,60160,51712,22898,,23900
quicgo,4,54184.731,,52992,,,
quicgo,4,54191.186,,54272,,,
quicgo,4,55501.214,,55552,,,
quicgo,4,55531.26,,56832,,,
quicgo,4,55537.466,,58112,,,
quicgo,4,55643.819,64000,54272,23058,,24184
quicgo,4,55656.7,,55552,,,
