arm,role,rep,time_us,cwnd,bytes_in_flight,smoothed_rtt,min_rtt,latest_rtt
migrate_demo,server,3,538945,12200,,21117,21050,
migrate_demo,server,3,544271,12200,,21117,21050,
migrate_demo,server,3,549541,12200,,21117,21050,
migrate_demo,server,3,554776,12200,,21117,21050,
migrate_demo,server,3,560129,18300,,21193,20928,
migrate_demo,server,3,565424,23180,,21705,20928,
migrate_demo,server,3,570637,23180,,21705,20928,
migrate_demo,server,3,575928,23180,,21705,20928,
migrate_demo,server,3,581151,29312,,21388,20345,
migrate_demo,server,3,586348,40292,,20964,20265,
migrate_demo,server,3,591533,46392,,20893,20259,
migrate_demo,server,3,596805,46392,,20893,20259,
migrate_demo,server,3,602053,53984,,20775,20259,
migrate_demo,server,3,607319,66504,,21409,20259,
migrate_demo,server,3,612584,79024,,22719,20259,
migrate_demo,server,3,617816,89040,,24291,20259,
migrate_demo,server,3,623166,96872,,24170,20259,
migrate_demo,server,3,628393,111524,,23184,20259,
migrate_demo,server,3,633667,124844,,24461,20259,
migrate_demo,server,3,638904,138164,,26525,20259,
migrate_demo,server,3,644126,151484,,28973,20259,
migrate_demo,server,3,649534,162140,,30970,20259,
migrate_demo,server,3,654816,175460,,33778,20259,
migrate_demo,server,3,660008,189000,,35665,20259,
migrate_demo,server,3,665212,200296,,37061,20259,
migrate_demo,server,3,670514,213004,,39137,20259,
migrate_demo,server,3,675787,227124,,41991,20259,
migrate_demo,server,3,681300,238420,,44298,20259,
migrate_demo,server,3,686598,252540,,47184,20259,
migrate_demo,server,3,692069,266660,,50159,20259,
migrate_demo,server,3,697311,280780,,53017,20259,
migrate_demo,server,3,702500,292076,,55380,20259,
migrate_demo,server,3,707952,303372,,57818,20259,
migrate_demo,server,3,713168,317492,,60595,20259,
migrate_demo,server,3,718358,330200,,62996,20259,
migrate_demo,server,3,723535,344320,,65956,20259,
migrate_demo,server,3,728742,355616,,68329,20259,
migrate_demo,server,3,734065,369736,,71226,20259,
migrate_demo,server,3,739313,381392,,73494,20259,
migrate_demo,server,3,744542,393168,,75811,20259,
migrate_demo,server,3,749813,407888,,78752,20259,
migrate_demo,server,3,755038,419664,,81141,20259,
migrate_demo,server,3,760277,431440,,83686,20259,
migrate_demo,server,3,765601,446160,,86652,20259,
migrate_demo,server,3,770828,457936,,89076,20259,
migrate_demo,server,3,776054,469712,,91518,20259,
migrate_demo,server,3,781297,482960,,93939,20259,
migrate_demo,server,3,786752,494736,,96461,20259,
migrate_demo,server,3,791977,509456,,99714,20259,
migrate_demo,server,3,797198,521232,,102188,20259,
migrate_demo,server,3,802451,535952,,105315,20259,
migrate_demo,server,3,807740,547728,,107591,20259,
migrate_demo,server,3,812962,559504,,109876,20259,
migrate_demo,server,3,818198,574224,,112871,20259,
migrate_demo,server,3,823715,584528,,114739,20259,
migrate_demo,server,3,828988,599248,,117906,20259,
migrate_demo,server,3,834228,611024,,120427,20259,
migrate_demo,server,3,839941,624272,,123811,20259,
migrate_demo,server,3,845286,638992,,126570,20259,
migrate_demo,server,3,850537,650768,,128747,20259,
migrate_demo,server,3,855870,665488,,131827,20259,
migrate_demo,server,3,861113,677264,,134208,20259,
migrate_demo,server,3,866448,689040,,136772,20259,
migrate_demo,server,3,871658,703760,,139496,20259,
migrate_demo,server,3,876933,717008,,142135,20259,
migrate_demo,server,3,882110,728784,,144486,20259,
migrate_demo,server,3,887322,740560,,147031,20259,
migrate_demo,server,3,892799,755280,,149980,20259,
migrate_demo,server,3,897998,767056,,152351,20259,
migrate_demo,server,3,903209,778832,,154896,20259,
migrate_demo,server,3,908409,793552,,157979,20259,
migrate_demo,server,3,913628,805328,,160594,20259,
migrate_demo,server,3,918838,817104,,162873,20259,
migrate_demo,server,3,924082,831824,,165734,20259,
migrate_demo,server,3,929295,843600,,168345,20259,
migrate_demo,server,3,934478,855376,,170618,20259,
migrate_demo,server,3,939877,867152,,173234,20259,
migrate_demo,server,3,945130,881872,,176427,20259,
migrate_demo,server,3,950336,893648,,178626,20259,
migrate_demo,server,3,955628,908368,,181681,20259,
migrate_demo,server,3,960832,920144,,183969,20259,
migrate_demo,server,3,966033,931920,,186335,20259,
migrate_demo,server,3,971434,943696,,188951,20259,
migrate_demo,server,3,976754,958416,,191781,20259,
migrate_demo,server,3,982005,970192,,194324,20259,
migrate_demo,server,3,987217,984912,,197389,20259,
migrate_demo,server,3,992428,996688,,199697,20259,
migrate_demo,server,3,997694,1008464,,202240,20259,
migrate_demo,server,3,1002922,1023184,,205338,20259,
migrate_demo,server,3,1008162,1034960,,207782,20259,
migrate_demo,server,3,1013402,1046736,,210177,20259,
