arm,role,rep,time_us,cwnd,bytes_in_flight,smoothed_rtt,min_rtt,latest_rtt
migrate_demo,server,1,549261,12200,,20942,20877,
migrate_demo,server,1,554483,12200,,20942,20877,
migrate_demo,server,1,559698,12200,,20942,20877,
migrate_demo,server,1,564924,12200,,20942,20877,
migrate_demo,server,1,570073,24400,,21749,20517,
migrate_demo,server,1,575214,24400,,21749,20517,
migrate_demo,server,1,580429,24400,,21749,20517,
migrate_demo,server,1,585678,24400,,21749,20517,
migrate_demo,server,1,590871,36632,,21165,20224,
migrate_demo,server,1,596073,48832,,20928,20224,
migrate_demo,server,1,601270,48832,,20928,20224,
migrate_demo,server,1,606519,48832,,20928,20224,
migrate_demo,server,1,611718,60180,,20820,20224,
migrate_demo,server,1,616889,72700,,21709,20224,
migrate_demo,server,1,622063,85220,,23491,20224,
migrate_demo,server,1,627247,97740,,25657,20224,
migrate_demo,server,1,632420,107144,,24183,20224,
migrate_demo,server,1,637618,119132,,23984,20224,
migrate_demo,server,1,642825,132452,,25308,20224,
migrate_demo,server,1,648002,145772,,27419,20224,
migrate_demo,server,1,653187,156428,,29350,20224,
migrate_demo,server,1,658439,169748,,31798,20224,
migrate_demo,server,1,663698,183068,,34507,20224,
migrate_demo,server,1,668841,195056,,36884,20224,
migrate_demo,server,1,674002,209156,,38751,20224,
migrate_demo,server,1,679143,220452,,40925,20224,
migrate_demo,server,1,684366,234572,,43682,20224,
migrate_demo,server,1,689548,247280,,46223,20224,
migrate_demo,server,1,694845,259988,,48431,20224,
migrate_demo,server,1,700037,271284,,50840,20224,
migrate_demo,server,1,705213,285404,,53776,20224,
migrate_demo,server,1,710406,296700,,56167,20224,
migrate_demo,server,1,715644,307996,,58413,20224,
migrate_demo,server,1,720838,322116,,61492,20224,
migrate_demo,server,1,726032,333412,,63730,20224,
migrate_demo,server,1,731234,347532,,66780,20224,
migrate_demo,server,1,736424,358828,,69026,20224,
migrate_demo,server,1,741612,372948,,72022,20224,
migrate_demo,server,1,746773,384244,,74350,20224,
migrate_demo,server,1,752036,398664,,77101,20224,
migrate_demo,server,1,757308,410440,,79550,20224,
migrate_demo,server,1,762489,422216,,81951,20224,
migrate_demo,server,1,767693,435464,,84423,20224,
migrate_demo,server,1,772850,447240,,86755,20224,
migrate_demo,server,1,778129,461960,,89895,20224,
migrate_demo,server,1,783288,473736,,92419,20224,
migrate_demo,server,1,788419,485512,,94913,20224,
migrate_demo,server,1,793902,497288,,97301,20224,
migrate_demo,server,1,799107,512008,,100050,20224,
migrate_demo,server,1,804297,523784,,102666,20224,
migrate_demo,server,1,809547,538504,,105613,20224,
migrate_demo,server,1,814775,550280,,108112,20224,
migrate_demo,server,1,819931,562056,,110531,20224,
migrate_demo,server,1,825237,573832,,112848,20224,
migrate_demo,server,1,830379,588552,,115828,20224,
migrate_demo,server,1,835533,600328,,118191,20224,
migrate_demo,server,1,840724,612104,,120742,20224,
migrate_demo,server,1,845946,626824,,123845,20224,
migrate_demo,server,1,851156,638600,,126276,20224,
migrate_demo,server,1,856313,650376,,128512,20224,
migrate_demo,server,1,861657,662152,,130870,20224,
migrate_demo,server,1,866826,676872,,134004,20224,
migrate_demo,server,1,871985,688648,,136514,20224,
migrate_demo,server,1,877319,700424,,138902,20224,
migrate_demo,server,1,882487,715144,,141981,20224,
migrate_demo,server,1,887670,726920,,144368,20224,
migrate_demo,server,1,892872,738696,,146810,20224,
migrate_demo,server,1,898067,753416,,149913,20224,
migrate_demo,server,1,903266,765192,,152233,20224,
migrate_demo,server,1,908504,776968,,154814,20224,
migrate_demo,server,1,913749,791688,,157578,20224,
migrate_demo,server,1,918924,803464,,160041,20224,
migrate_demo,server,1,924082,815240,,162285,20224,
migrate_demo,server,1,929348,827016,,164566,20224,
migrate_demo,server,1,934567,841736,,167500,20224,
migrate_demo,server,1,939739,853512,,169903,20224,
migrate_demo,server,1,944926,865288,,172213,20224,
migrate_demo,server,1,950101,880008,,175272,20224,
migrate_demo,server,1,955281,891784,,177858,20224,
migrate_demo,server,1,960474,903560,,180486,20224,
migrate_demo,server,1,965720,918280,,183423,20224,
migrate_demo,server,1,970922,930056,,186078,20224,
migrate_demo,server,1,976088,941832,,188346,20224,
migrate_demo,server,1,981249,953608,,190689,20224,
migrate_demo,server,1,986428,968328,,193728,20224,
migrate_demo,server,1,991611,980104,,196129,20224,
migrate_demo,server,1,996785,991880,,198488,20224,
migrate_demo,server,1,1002044,1006600,,201806,20224,
migrate_demo,server,1,1007263,1018376,,204111,20224,
migrate_demo,server,1,1012463,1030152,,206410,20224,
migrate_demo,server,1,1017713,1041928,,208788,20224,
migrate_demo,server,1,1022968,1056648,,211732,20224,
migrate_demo,server,1,1028173,1068424,,214130,20224,
migrate_demo,server,1,1033485,1080200,,216559,20224,
migrate_demo,server,1,1038672,1094920,,219860,20224,
migrate_demo,server,1,1043864,1106696,,222215,20224,
migrate_demo,server,1,1049027,1118472,,224552,20224,
migrate_demo,server,1,1054200,1133192,,227765,20224,
migrate_demo,server,1,1059365,1144968,,230072,20224,
migrate_demo,server,1,1064590,1156744,,232564,20224,
migrate_demo,server,1,1069836,1168520,,234948,20224,
migrate_demo,server,1,1075070,1183240,,238177,20224,
migrate_demo,server,1,1080242,1195016,,240435,20224,
migrate_demo,server,1,1085438,1206792,,242767,20224,
migrate_demo,server,1,1090685,1221512,,246004,20224,
migrate_demo,server,1,1095808,1233288,,248345,20224,
migrate_demo,server,1,1100994,1245064,,250869,20224,
migrate_demo,server,1,1106279,1259784,,253932,20224,
migrate_demo,server,1,1111480,1271560,,256147,20224,
migrate_demo,server,1,1116664,1283336,,258475,20224,
migrate_demo,server,1,1122089,1295112,,260863,20224,
migrate_demo,server,1,1127313,1309832,,263793,20224,
migrate_demo,server,1,1132421,1321608,,266324,20224,
migrate_demo,server,1,1137725,1336328,,269643,20224,
migrate_demo,server,1,1142933,1348104,,271941,20224,
migrate_demo,server,1,1148113,1359880,,274251,20224,
migrate_demo,server,1,1153326,1371656,,276608,20224,
migrate_demo,server,1,1158591,1386376,,279755,20224,
migrate_demo,server,1,1163777,1398152,,282113,20224,
migrate_demo,server,1,1169005,1409928,,284457,20224,
migrate_demo,server,1,1174298,1424648,,287787,20224,
migrate_demo,server,1,1179439,1436424,,290008,20224,
migrate_demo,server,1,1184605,1448200,,292631,20224,
migrate_demo,server,1,1189904,1462920,,295464,20224,
migrate_demo,server,1,1195086,1474696,,297773,20224,
migrate_demo,server,1,1200238,1486472,,300139,20224,
migrate_demo,server,1,1205454,1501192,,303122,20224,
migrate_demo,server,1,1210731,1512968,,305787,20224,
migrate_demo,server,1,1215906,1524744,,308135,20224,
migrate_demo,server,1,1221093,1536520,,310491,20224,
migrate_demo,server,1,1226254,1551240,,313668,20224,
migrate_demo,server,1,1231408,1563016,,316005,20224,
migrate_demo,server,1,1236620,1574792,,318349,20224,
migrate_demo,server,1,1241881,1589512,,321570,20224,
migrate_demo,server,1,1247146,1601288,,324158,20224,
