arm,role,rep,time_us,cwnd,bytes_in_flight,smoothed_rtt,min_rtt,latest_rtt
migrate_demo,server,2,534604,12200,,20943,20880,
migrate_demo,server,2,539839,12200,,20943,20880,
migrate_demo,server,2,545273,12200,,20943,20880,
migrate_demo,server,2,550511,12200,,20943,20880,
migrate_demo,server,2,555840,18300,,21086,20880,
migrate_demo,server,2,561084,23180,,21645,20880,
migrate_demo,server,2,566305,23180,,21645,20880,
migrate_demo,server,2,571554,23180,,21645,20880,
migrate_demo,server,2,576786,29312,,21249,20422,
migrate_demo,server,2,582014,41512,,20882,20304,
migrate_demo,server,2,587236,46392,,20869,20304,
migrate_demo,server,2,592488,46392,,20869,20304,
migrate_demo,server,2,597698,52732,,20831,20304,
migrate_demo,server,2,602952,65252,,21380,20304,
migrate_demo,server,2,608214,77772,,22770,20304,
migrate_demo,server,2,613472,89040,,24786,20304,
migrate_demo,server,2,618707,98204,,23719,20304,
migrate_demo,server,2,623902,111524,,23134,20304,
migrate_demo,server,2,629183,124844,,24521,20304,
migrate_demo,server,2,634372,135500,,26203,20304,
migrate_demo,server,2,639580,148820,,28545,20304,
migrate_demo,server,2,644810,162140,,31141,20304,
migrate_demo,server,2,650122,172796,,33268,20304,
migrate_demo,server,2,655339,186336,,35606,20304,
migrate_demo,server,2,660633,200456,,37596,20304,
migrate_demo,server,2,665854,211752,,39325,20304,
migrate_demo,server,2,671298,225872,,41996,20304,
migrate_demo,server,2,676603,237168,,43972,20304,
migrate_demo,server,2,682175,252700,,46954,20304,
migrate_demo,server,2,687437,263996,,49408,20304,
migrate_demo,server,2,692645,276704,,51701,20304,
migrate_demo,server,2,697825,290824,,54759,20304,
migrate_demo,server,2,703024,302120,,57202,20304,
migrate_demo,server,2,708221,316240,,60155,20304,
migrate_demo,server,2,713445,327536,,62573,20304,
migrate_demo,server,2,718688,341656,,65418,20304,
migrate_demo,server,2,723873,352952,,67763,20304,
migrate_demo,server,2,729131,364248,,70228,20304,
migrate_demo,server,2,734428,378848,,72894,20304,
migrate_demo,server,2,739600,390624,,75169,20304,
migrate_demo,server,2,744840,405344,,78279,20304,
migrate_demo,server,2,750030,417120,,80790,20304,
migrate_demo,server,2,755227,428896,,83193,20304,
migrate_demo,server,2,760599,440672,,85541,20304,
migrate_demo,server,2,765920,455392,,88417,20304,
migrate_demo,server,2,771185,467168,,91012,20304,
migrate_demo,server,2,776399,480416,,93431,20304,
migrate_demo,server,2,781772,492192,,96024,20304,
migrate_demo,server,2,787011,506912,,98918,20304,
migrate_demo,server,2,792230,518688,,101489,20304,
migrate_demo,server,2,797502,530464,,103917,20304,
migrate_demo,server,2,802751,545184,,106952,20304,
migrate_demo,server,2,807989,556960,,109357,20304,
migrate_demo,server,2,813253,571680,,112569,20304,
migrate_demo,server,2,818506,581984,,114336,20304,
migrate_demo,server,2,823927,596704,,117299,20304,
migrate_demo,server,2,829147,609952,,120048,20304,
migrate_demo,server,2,834392,621728,,122426,20304,
migrate_demo,server,2,839640,633504,,125094,20304,
migrate_demo,server,2,844859,646752,,127418,20304,
migrate_demo,server,2,850174,658528,,129980,20304,
migrate_demo,server,2,855458,673248,,133134,20304,
migrate_demo,server,2,860758,685024,,135695,20304,
migrate_demo,server,2,866082,699744,,138683,20304,
migrate_demo,server,2,871288,711520,,141261,20304,
migrate_demo,server,2,876535,723296,,143564,20304,
migrate_demo,server,2,881778,738016,,146709,20304,
migrate_demo,server,2,886960,749792,,149031,20304,
migrate_demo,server,2,892287,761568,,151560,20304,
migrate_demo,server,2,897522,776288,,154676,20304,
migrate_demo,server,2,902732,788064,,156890,20304,
migrate_demo,server,2,907988,799840,,159178,20304,
migrate_demo,server,2,913233,814560,,162280,20304,
migrate_demo,server,2,918462,826336,,164722,20304,
migrate_demo,server,2,923657,838112,,167159,20304,
migrate_demo,server,2,929030,852832,,170103,20304,
migrate_demo,server,2,934288,864608,,172727,20304,
migrate_demo,server,2,939494,876384,,175048,20304,
migrate_demo,server,2,944717,891104,,178014,20304,
migrate_demo,server,2,949910,902880,,180447,20304,
migrate_demo,server,2,955143,914656,,182776,20304,
migrate_demo,server,2,960594,929376,,185970,20304,
migrate_demo,server,2,965869,941152,,188258,20304,
migrate_demo,server,2,971103,952928,,190509,20304,
migrate_demo,server,2,976284,967648,,193587,20304,
migrate_demo,server,2,981535,979424,,196007,20304,
migrate_demo,server,2,986769,991200,,198465,20304,
migrate_demo,server,2,991962,1005920,,201452,20304,
migrate_demo,server,2,997278,1017696,,203852,20304,
migrate_demo,server,2,1002733,1029472,,206278,20304,
migrate_demo,server,2,1007951,1044192,,209338,20304,
migrate_demo,server,2,1013152,1055968,,211694,20304,
migrate_demo,server,2,1018534,1067744,,214320,20304,
migrate_demo,server,2,1023783,1082464,,217395,20304,
migrate_demo,server,2,1029048,1094240,,219906,20304,
migrate_demo,server,2,1034434,1108960,,222799,20304,
migrate_demo,server,2,1039689,1120736,,225367,20304,
migrate_demo,server,2,1044891,1132512,,227658,20304,
migrate_demo,server,2,1050083,1147232,,230488,20304,
migrate_demo,server,2,1055304,1157536,,232846,20304,
migrate_demo,server,2,1060560,1172256,,235917,20304,
migrate_demo,server,2,1065780,1184032,,238325,20304,
migrate_demo,server,2,1070996,1195808,,240729,20304,
migrate_demo,server,2,1076227,1210528,,243777,20304,
migrate_demo,server,2,1081450,1222304,,246089,20304,
migrate_demo,server,2,1086634,1234080,,248536,20304,
migrate_demo,server,2,1091893,1248800,,251696,20304,
migrate_demo,server,2,1097101,1260576,,254076,20304,
migrate_demo,server,2,1102309,1272352,,256612,20304,
migrate_demo,server,2,1107576,1284128,,258866,20304,
migrate_demo,server,2,1112800,1298848,,261880,20304,
migrate_demo,server,2,1117993,1310624,,264428,20304,
migrate_demo,server,2,1123412,1322400,,266772,20304,
migrate_demo,server,2,1128658,1337120,,269909,20304,
migrate_demo,server,2,1133836,1348896,,272285,20304,
migrate_demo,server,2,1139055,1363616,,275210,20304,
migrate_demo,server,2,1144276,1375392,,277769,20304,
migrate_demo,server,2,1149472,1387168,,280154,20304,
migrate_demo,server,2,1154893,1401888,,283162,20304,
migrate_demo,server,2,1160128,1413664,,285655,20304,
migrate_demo,server,2,1165348,1425440,,288072,20304,
migrate_demo,server,2,1170682,1440160,,291005,20304,
migrate_demo,server,2,1175890,1451936,,293426,20304,
migrate_demo,server,2,1181090,1463712,,295960,20304,
migrate_demo,server,2,1186382,1478432,,298960,20304,
migrate_demo,server,2,1191606,1490208,,301464,20304,
migrate_demo,server,2,1196824,1501984,,303810,20304,
migrate_demo,server,2,1202124,1516704,,306756,20304,
migrate_demo,server,2,1207348,1528480,,309117,20304,
migrate_demo,server,2,1212535,1540256,,311708,20304,
migrate_demo,server,2,1217837,1552032,,314082,20304,
migrate_demo,server,2,1223051,1566752,,317089,20304,
migrate_demo,server,2,1228270,1578528,,319584,20304,
migrate_demo,server,2,1233704,1593248,,322585,20304,
migrate_demo,server,2,1238905,1605024,,324968,20304,
migrate_demo,server,2,1244143,1616800,,327343,20304,
migrate_demo,server,2,1249373,1631520,,330377,20304,
migrate_demo,server,2,1254637,1643296,,332920,20304,
migrate_demo,server,2,1259877,1655072,,335276,20304,
migrate_demo,server,2,1265211,1669792,,338222,20304,
migrate_demo,server,2,1270501,1681568,,340624,20304,
migrate_demo,server,2,1275710,1693344,,343145,20304,
migrate_demo,server,2,1280907,1708064,,346138,20304,
migrate_demo,server,2,1286121,1719840,,348631,20304,
migrate_demo,server,2,1291312,1731616,,351070,20304,
migrate_demo,server,2,1296609,1746336,,354077,20304,
migrate_demo,server,2,1301849,1758112,,356571,20304,
migrate_demo,server,2,1307110,1769888,,358930,20304,
migrate_demo,server,2,1312301,1784608,,361907,20304,
migrate_demo,server,2,1317505,1796384,,364306,20304,
migrate_demo,server,2,1322729,1808160,,366693,20304,
migrate_demo,server,2,1328024,1822880,,369650,20304,
migrate_demo,server,2,1333233,1834656,,372069,20304,
migrate_demo,server,2,1338445,1846432,,374643,20304,
migrate_demo,server,2,1343857,1858208,,377143,20304,
migrate_demo,server,2,1349055,1872928,,380136,20304,
migrate_demo,server,2,1354240,1884704,,382504,20304,
migrate_demo,server,2,1359612,1899424,,385481,20304,
migrate_demo,server,2,1364827,1911200,,387887,20304,
migrate_demo,server,2,1370075,1922976,,390286,20304,
migrate_demo,server,2,1375319,1937696,,393485,20304,
migrate_demo,server,2,1380543,1949472,,395832,20304,
migrate_demo,server,2,1385747,1961248,,398254,20304,
migrate_demo,server,2,1391148,1975968,,401339,20304,
migrate_demo,server,2,1396385,1987744,,403700,20304,
migrate_demo,server,2,1401600,1999520,,406094,20304,
migrate_demo,server,2,1406992,2014240,,409150,20304,
migrate_demo,server,2,1412180,2026016,,411654,20304,
migrate_demo,server,2,1417378,2037792,,413978,20304,
migrate_demo,server,2,1422561,2052512,,417045,20304,
migrate_demo,server,2,1427743,2064288,,419529,20304,
migrate_demo,server,2,1432945,2076064,,421890,20304,
migrate_demo,server,2,1438282,2090784,,424880,20304,
migrate_demo,server,2,1443498,2102560,,427438,20304,
migrate_demo,server,2,1448700,2114336,,429792,20304,
migrate_demo,server,2,1454092,2129056,,432724,20304,
migrate_demo,server,2,1459297,2140832,,435230,20304,
migrate_demo,server,2,1464492,2152608,,437754,20304,
migrate_demo,server,2,1469893,2167328,,440737,20304,
migrate_demo,server,2,1475095,2179104,,443099,20304,
migrate_demo,server,2,1480352,2190880,,445496,20304,
migrate_demo,server,2,1485559,2205600,,448456,20304,
migrate_demo,server,2,1490888,2217376,,450968,20304,
migrate_demo,server,2,1496121,2229152,,453374,20304,
migrate_demo,server,2,1501397,2243872,,456405,20304,
migrate_demo,server,2,1506630,2255648,,458829,20304,
migrate_demo,server,2,1511898,2267424,,461194,20304,
migrate_demo,server,2,1517108,2282144,,464183,20304,
migrate_demo,server,2,1522398,2293920,,466684,20304,
migrate_demo,server,2,1527600,2305696,,469234,20304,
migrate_demo,server,2,1532863,2320416,,472267,20304,
migrate_demo,server,2,1538088,2332192,,474546,20304,
migrate_demo,server,2,1543323,2343968,,477050,20304,
migrate_demo,server,2,1548554,2358688,,480151,20304,
